angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,racePos,rpm,speedX,speedY,speedZ,trackPos,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,z,focus_0,focus_1,focus_2,focus_3,focus_4,accel,brake,clutch,gear.1,steer,focus_0.1,focus_1.1,focus_2.1,focus_3.1,focus_4.1,meta,sector,lap,avg_speed,min_speed,max_brake,brake_start,brake_duration,sector_time,throttle_reapply
0.078181,27.012,0,744.008,754.008,93.2028,2,0,1,7245.82,96.4881,1.09516,0.100065,0.356356,65.5697,71.2544,84.7661,84.7661,0.340321,-1,-1,-1,-1,-1,0.9,0.35,0,2,-0.2923444,-90,-45,0,45,90,0,2,2,149.67,149.28,0,,0,6.006,561.01
0.078181,27.012,0,744.008,754.008,93.2028,2,0,1,7245.82,96.4881,1.09516,0.100065,0.356356,65.5697,71.2544,84.7661,84.7661,0.340321,-1,-1,-1,-1,-1,0.9,0.35,0,2,-0.2923444,-90,-45,0,45,90,0,2,3,179.9,179.72,0,,0,4.994,550.94
0.0605848,28.002,0,768.041,778.041,93.1696,2,0,1,6784.11,89.7539,3.08487,0.0886537,0.262402,56.404,64.1161,79.3665,79.3665,0.341287,-1,-1,-1,-1,-1,0.9,0.35,0,2,-0.3144712,-90,-45,0,45,90,0,2,2,149.67,149.28,0,,0,6.006,561.01
0.0605848,28.002,0,768.041,778.041,93.1696,2,0,1,6784.11,89.7539,3.08487,0.0886537,0.262402,56.404,64.1161,79.3665,79.3665,0.341287,-1,-1,-1,-1,-1,0.9,0.35,0,2,-0.3144712,-90,-45,0,45,90,0,2,3,179.9,179.72,0,,0,4.994,550.94
-0.170051,29.014,0,793.331,803.331,93.1346,2,0,1,7656.44,100.773,0.423508,0.0879407,0.343056,82.4281,84.3169,89.5323,89.5323,0.340446,-1,-1,-1,-1,-1,0.9,0.0824225,0,2,-0.114845,-90,-45,0,45,90,0,2,2,149.67,149.28,0,,0,6.006,561.01
-0.170051,29.014,0,793.331,803.331,93.1346,2,0,1,7656.44,100.773,0.423508,0.0879407,0.343056,82.4281,84.3169,89.5323,89.5323,0.340446,-1,-1,-1,-1,-1,0.9,0.0824225,0,2,-0.114845,-90,-45,0,45,90,0,2,3,179.9,179.72,0,,0,4.994,550.94
0.0373188,30.004,0,821.235,831.235,93.0946,2,0,1,9364.04,113.255,7.58967,0.168441,1.17624,94.0069,95.7374,107.554,110.894,0.340468,-1,-1,-1,-1,-1,0.9,0,0,2,-0.070305457,-90,-45,0,45,90,0,2,2,149.67,149.28,0,,0,6.006,561.01
0.0373188,30.004,0,821.235,831.235,93.0946,2,0,1,9364.04,113.255,7.58967,0.168441,1.17624,94.0069,95.7374,107.554,110.894,0.340468,-1,-1,-1,-1,-1,0.9,0,0,2,-0.070305457,-90,-45,0,45,90,0,2,3,179.9,179.72,0,,0,4.994,550.94
0.0590172,31.016,0,854.746,864.746,93.0635,3,0,1,6822.04,124.792,-0.0489229,0.196663,0.908747,104.372,104.272,108.403,108.403,0.333237,-1,-1,-1,-1,-1,0.9,0.02963345,0,3,0.002696201,-90,-45,0,45,90,0,3,2,149.69,149.28,0,,0,6.996,852.75
0.0590172,31.016,0,854.746,864.746,93.0635,3,0,1,6822.04,124.792,-0.0489229,0.196663,0.908747,104.372,104.272,108.403,108.403,0.333237,-1,-1,-1,-1,-1,0.9,0.02963345,0,3,0.002696201,-90,-45,0,45,90,0,3,3,179.96,179.7,0,,0,5.984,850.32
-0.0160944,32.006,0,891.16,901.16,93.0283,3,0,1,7755.34,141.052,0.442804,0.131321,0.817453,117.286,119.474,123.081,123.081,0.33529,-1,-1,-1,-1,-1,0.9,0,0,3,-0.121827784,-90,-45,0,45,90,0,3,2,149.69,149.28,0,,0,6.996,852.75
-0.0160944,32.006,0,891.16,901.16,93.0283,3,0,1,7755.34,141.052,0.442804,0.131321,0.817453,117.286,119.474,123.081,123.081,0.33529,-1,-1,-1,-1,-1,0.9,0,0,3,-0.121827784,-90,-45,0,45,90,0,3,3,179.96,179.7,0,,0,5.984,850.32
0.033826,33.006,0,932.323,942.323,92.9972,4,0,1,6564.29,153.322,2.30723,-0.0438923,0.823699,128.277,129.205,132.604,132.604,0.333312,-1,-1,-1,-1,-1,0.9,0,0,4,-0.034764285,-90,-45,0,45,90,0,3,2,149.69,149.28,0,,0,6.996,852.75
