speedX,speedY,speedZ,rpm,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,steer,accel,brake
62.6141,-0.498245,1.14402,4643.53,3.41187,3.5992,4.10425,5.18521,7.75676,12.3278,17.7944,32.4149,131.03,103.468,55.1177,35.6016,26.4407,21.1576,15.3836,11.395,9.56652,8.75804,8.61704,52.1814,53.0058,54.2984,54.2984,-0.0601643049876106,0.6,0
65.2121,-0.413619,1.1314,4839.78,3.74199,3.97869,4.58061,5.86831,9.01803,14.9841,22.8236,48.6432,118.828,84.6401,44.9512,30.757,23.5117,19.147,14.2136,10.7085,9.08694,8.38835,8.31575,54.4317,55.146,56.5894,56.5894,-0.0444996534913274,0.6,0
67.8724,-0.33181,1.17836,5036.46,4.18118,4.4763,5.19733,6.743,10.628,18.471,29.8794,79.7323,107.064,64.2632,37.7058,26.8245,20.9407,17.2816,13.0391,9.95971,8.52703,7.92696,7.90937,56.6833,57.2849,58.8882,58.8882,-0.0266564324439292,0.6,0
70.5917,-0.225682,1.19926,5238,4.71728,5.07742,5.93499,7.77896,12.5234,22.6565,38.8983,120.875,95.9113,51.9931,32.3291,23.5876,18.6791,15.5597,11.8779,9.16537,7.89968,7.38324,7.40377,59.0559,59.4839,61.2499,61.2499,-0.00741601271075042,0.6,0
73.3554,-0.132481,1.26124,5443.62,5.33033,5.75756,6.76009,8.92152,14.5748,27.1514,48.8795,111.996,85.9266,43.9405,28.1977,20.8769,16.6747,13.9692,10.7414,8.34173,7.22066,6.77205,6.81306,61.4642,61.7561,63.6568,63.6568,0.0178828411024747,0.6,0
76.1521,-0.0339765,1.30712,5651.7,5.99073,6.47854,7.61802,10.0772,16.5459,31.1442,57.068,105.209,78.275,38.6795,25.0611,18.64,14.9287,12.5294,9.657,7.51532,6.51451,6.11679,6.16052,63.8573,63.9743,66.0893,66.0893,0.0362095887717323,0.6,0
78.9707,0.0667089,1.38669,5861.99,6.65358,7.18104,8.42272,11.098,18.0684,33.4255,59.4787,100.894,74.8465,36.0495,22.9751,16.9549,13.5162,11.3086,8.68136,6.73205,5.8216,5.45557,5.4845,66.4209,66.2172,68.5477,68.5477,0.0479937121402126,0.6,0
81.8098,0.114303,1.42655,6073.76,7.27627,7.81769,9.11746,11.909,19.034,33.9562,57.0613,98.4478,74.4024,35.562,21.7192,15.7198,12.3913,10.2906,7.82567,6.01834,5.17573,4.82874,4.8341,68.8849,68.5275,71.0258,71.0258,0.0629361984981488,0,0.5
84.6648,0.130063,1.51796,6287.06,7.82458,8.35363,9.66588,12.4759,19.4591,33.1835,52.2924,97.3658,75.2938,37.6137,21.2842,14.9203,11.5537,9.48558,7.11135,5.40233,4.60882,4.27242,4.25184,71.3874,70.8317,73.5214,73.5214,0.0742526189487042,0,0.5
70.7568,-0.915545,1.33116,4173.15,8.25085,8.73504,10.0039,12.7179,19.2535,31.1965,46.0647,98.9414,77.8113,45.9295,22.3782,14.8677,11.1955,9.03311,6.632,4.95122,4.17723,3.83875,3.78993,48.2307,45.9977,52.6018,45.1365,0.0809980832640929,0.6,0
